院校名称,专业组,首选科目,再选要求,投档最低分,最低位次,批次,城市,院校层次,代表专业
北京师范大学,101组,历史,不限,626,522,本科批,北京,985/211/双一流,
北京师范大学,161组(国家专项),历史,不限,622,699,本科批,北京,985/211/双一流,
北京体育大学,101组,历史,不限,592,3107,本科批,北京,211/双一流,
北京体育大学,102组,历史,不限,586,3926,本科批,北京,211/双一流,
北京体育大学,103组,历史,不限,527,22260,本科批,北京,211/双一流,
北京体育大学,104组,历史,不限,591,3168,本科批,北京,211/双一流,
北京体育大学,161组(国家专项),历史,不限,581,4619,本科批,北京,211/双一流,
天津师范大学,101组,历史,不限,570,6928,本科批,天津,双一流,
天津师范大学,102组,历史,不限,531,20262,本科批,天津,双一流,
天津师范大学,103组,历史,不限,576,5506,本科批,天津,双一流,
天津师范大学,104组,历史,不限,566,7681,本科批,天津,双一流,
天津师范大学,161组(国家专项),历史,不限,541,15796,本科批,天津,双一流,
天津体育学院,101组,历史,不限,532,19512,本科批,天津,普通本科,
河北师范大学,101组,历史,不限,555,10937,本科批,石家庄,双一流,
河北师范大学,103组,历史,不限,536,17947,本科批,石家庄,双一流,
河北师范大学,104组,历史,不限,567,7518,本科批,石家庄,双一流,
河北师范大学,105组,历史,不限,562,8949,本科批,石家庄,双一流,
山西师范大学,101组,历史,不限,539,16503,本科批,太原,普通本科,
山西师范大学,102组,历史,不限,564,8302,本科批,太原,普通本科,
内蒙古师范大学,101组,历史,不限,513,29624,本科批,呼和浩特,普通本科,
内蒙古师范大学,102组,历史,不限,519,26479,本科批,呼和浩特,普通本科,
内蒙古师范大学,103组,历史,不限,513,30058,本科批,呼和浩特,普通本科,
内蒙古师范大学,104组,历史,不限,528,21485,本科批,呼和浩特,普通本科,
内蒙古师范大学,105组,历史,不限,523,24080,本科批,呼和浩特,普通本科,
大连海事大学,101组,历史,不限,591,3214,本科批,大连,211/双一流,
大连海事大学,102组,历史,不限,591,3226,本科批,大连,211/双一流,
辽宁师范大学,101组,历史,不限,532,19842,本科批,大连,双一流,
辽宁师范大学,102组,历史,不限,529,21168,本科批,大连,双一流,
