学校ID,学校名称,年份,录取批次,招生类型,专业组,选科要求,最低分,最低位次,专业名称,专业最低分,专业最低位次,数据来源URL
30,北京工业大学北京朝阳区,2025,本科批,普通类,专业组（501）,首选物理，再选化学,587,13605,,,,https://www.gaokao.cn/school/30/provinceline?fromcoop=bdkp
30,北京工业大学北京朝阳区,2025,本科批,中外合作办学,专业组（502）,首选物理，再选化学,592,11791,,,,https://www.gaokao.cn/school/30/provinceline?fromcoop=bdkp
30,北京工业大学北京朝阳区,2025,本科批,国家专项,专业组（561）,首选物理，再选化学,563,26025,,,,https://www.gaokao.cn/school/30/provinceline?fromcoop=bdkp
30,北京工业大学北京朝阳区,,,,,首选物理，再选化学,,,软件工程（中外合作办学）（外语成绩不低于：110分）,595,10679,https://www.gaokao.cn/school/30/provinceline?fromcoop=bdkp
30,北京工业大学北京朝阳区,,,,,首选物理，再选化学,,,数字媒体技术,593,11195,https://www.gaokao.cn/school/30/provinceline?fromcoop=bdkp
30,北京工业大学北京朝阳区,,,,,首选物理，再选化学,,,物联网工程（中外合作办学）（外语成绩不低于：110分）,592,11791,https://www.gaokao.cn/school/30/provinceline?fromcoop=bdkp
30,北京工业大学北京朝阳区,,,,,首选物理，再选化学,,,建筑学（不招色盲、色弱考生）,587,13605,https://www.gaokao.cn/school/30/provinceline?fromcoop=bdkp
30,北京工业大学北京朝阳区,,,,,首选物理，再选化学,,,土木类（国家专项）（土木工程、给排水科学与工程、建筑环境与能源应用工程）（不招色盲考生）,563,26025,https://www.gaokao.cn/school/30/provinceline?fromcoop=bdkp
31,北京大学北京海淀区,2025,本科批,普通类,专业组（501）,首选物理，再选化学,673,52,,,,https://www.gaokao.cn/school/31/provinceline?fromcoop=bdkp
31,北京大学北京海淀区,2025,本科批,国家专项,专业组（562）,首选物理，再选化学,664,185,,,,https://www.gaokao.cn/school/31/provinceline?fromcoop=bdkp
31,北京大学北京海淀区,2025,本科批,国家专项,专业组（561）,首选物理，再选不限,661,256,,,,https://www.gaokao.cn/school/31/provinceline?fromcoop=bdkp
31,北京大学北京海淀区,,,,,首选物理，再选化学,,,理科试验班类（元培）（数学类、物理学类、地球物理学类、计算机类、电子信息类）,684,7,https://www.gaokao.cn/school/31/provinceline?fromcoop=bdkp
31,北京大学北京海淀区,,,,,首选物理，再选化学,,,计算机类（计算机科学与技术、智能科学与技术）,677,29,https://www.gaokao.cn/school/31/provinceline?fromcoop=bdkp
31,北京大学北京海淀区,,,,,首选物理，再选化学,,,数学类（数学与应用数学（数学）、数学与应用数学（概率统计）、数学与应用数学（科学与工程计算）、数学与应用数学（信息科学）、数学与应用数学（金融））,676,33,https://www.gaokao.cn/school/31/provinceline?fromcoop=bdkp
31,北京大学北京海淀区,,,,,首选物理，再选化学,,,物理学类（物理学、大气科学（大气与海洋））,673,49,https://www.gaokao.cn/school/31/provinceline?fromcoop=bdkp
31,北京大学北京海淀区,,,,,首选物理，再选化学,,,电子信息类（电子信息科学与技术、微电子科学与工程）,673,48,https://www.gaokao.cn/school/31/provinceline?fromcoop=bdkp
32,内蒙古大学内蒙古呼和浩特市,2025,本科批,普通类,专业组（503）,首选物理，再选不限,577,18278,,,,https://www.gaokao.cn/school/32/provinceline?fromcoop=bdkp
32,内蒙古大学内蒙古呼和浩特市,2025,本科批,普通类,专业组（505）,首选物理，再选化学,570,21883,,,,https://www.gaokao.cn/school/32/provinceline?fromcoop=bdkp
32,内蒙古大学内蒙古呼和浩特市,2025,本科批,普通类,专业组（501）,首选物理，再选不限,565,24535,,,,https://www.gaokao.cn/school/32/provinceline?fromcoop=bdkp
32,内蒙古大学内蒙古呼和浩特市,2025,本科批,普通类,专业组（502）,首选物理，再选化学,563,25790,,,,https://www.gaokao.cn/school/32/provinceline?fromcoop=bdkp
