学校名称,地区,专业组名称,选科要求,年份,录取批次,招生类型,专业组最低分,专业组最低位次,专业名称,专业最低分,专业最低位次,学校最低分,学校最低位次
北京工业大学,北京朝阳区,专业组（501）,首选物理，再选化学,2025,本科批,普通类,587,13605,,,,563,10679
北京工业大学,北京朝阳区,专业组（502）,首选物理，再选化学,2025,本科批,中外合作办学,592,11791,,,,563,10679
北京工业大学,北京朝阳区,专业组（561）,首选物理，再选化学,2025,本科批,国家专项,563,26025,软件工程（中外合作办学）（外语成绩不低于：110分）,595,10679,563,10679
北京工业大学,北京朝阳区,专业组（561）,首选物理，再选化学,2025,本科批,国家专项,563,26025,数字媒体技术,593,11195,563,10679
北京工业大学,北京朝阳区,专业组（561）,首选物理，再选化学,2025,本科批,国家专项,563,26025,物联网工程（中外合作办学）（外语成绩不低于：110分）,592,11791,563,10679
北京工业大学,北京朝阳区,专业组（561）,首选物理，再选化学,2025,本科批,国家专项,563,26025,建筑学（不招色盲、色弱考生）,587,13605,563,10679
北京工业大学,北京朝阳区,专业组（561）,首选物理，再选化学,2025,本科批,国家专项,563,26025,土木类（国家专项）（土木工程、给排水科学与工程、建筑环境与能源应用工程）（不招色盲考生）,563,26025,563,10679
北京大学,北京海淀区,专业组（501）,首选物理，再选化学,2025,本科批,普通类,673,52,,,,661,7
北京大学,北京海淀区,专业组（562）,首选物理，再选化学,2025,本科批,国家专项,664,185,,,,661,7
北京大学,北京海淀区,专业组（561）,首选物理，再选不限,2025,本科批,国家专项,661,256,理科试验班类（元培）（数学类、物理学类、地球物理学类、计算机类、电子信息类）,684,7,661,7
北京大学,北京海淀区,专业组（561）,首选物理，再选不限,2025,本科批,国家专项,661,256,计算机类（计算机科学与技术、智能科学与技术）,677,29,661,7
北京大学,北京海淀区,专业组（561）,首选物理，再选不限,2025,本科批,国家专项,661,256,数学类（数学与应用数学（数学）、数学与应用数学（概率统计）、数学与应用数学（科学与工程计算）、数学与应用数学（信息科学）、数学与应用数学（金融））,676,33,661,7
北京大学,北京海淀区,专业组（561）,首选物理，再选不限,2025,本科批,国家专项,661,256,物理学类（物理学、大气科学（大气与海洋））,673,49,661,7
北京大学,北京海淀区,专业组（561）,首选物理，再选不限,2025,本科批,国家专项,661,256,电子信息类（电子信息科学与技术、微电子科学与工程）,673,48,661,7
内蒙古大学,内蒙古呼和浩特市,专业组（503）,首选物理，再选不限,2025,本科批,普通类,577,18278,,,,561,18278
内蒙古大学,内蒙古呼和浩特市,专业组（505）,首选物理，再选化学,2025,本科批,普通类,570,21883,,,,561,18278
内蒙古大学,内蒙古呼和浩特市,专业组（501）,首选物理，再选不限,2025,本科批,普通类,565,24535,,,,561,18278
内蒙古大学,内蒙古呼和浩特市,专业组（502）,首选物理，再选化学,2025,本科批,普通类,563,25790,,,,561,18278
内蒙古大学,内蒙古呼和浩特市,专业组（504）,首选物理，再选化学,2025,本科批,普通类,561,27409,会计学（内蒙古自治区呼和浩特市）（不能准确识别红、黄、绿、蓝、紫各种颜色中任何一种颜色的导线、按键、信号灯、几何图形者不予录取）,577,18278,561,18278
内蒙古大学,内蒙古呼和浩特市,专业组（504）,首选物理，再选化学,2025,本科批,普通类,561,27409,电子科学与技术（内蒙古自治区呼和浩特市）,575,19353,561,18278
内蒙古大学,内蒙古呼和浩特市,专业组（504）,首选物理，再选化学,2025,本科批,普通类,561,27409,数学与应用数学（内蒙古自治区呼和浩特市）,574,19650,561,18278
内蒙古大学,内蒙古呼和浩特市,专业组（504）,首选物理，再选化学,2025,本科批,普通类,561,27409,电子信息类（内蒙古自治区呼和浩特市）（通信工程、电子信息科学与技术、自动化）,572,20977,561,18278
内蒙古大学,内蒙古呼和浩特市,专业组（504）,首选物理，再选化学,2025,本科批,普通类,561,27409,物理学类（内蒙古自治区呼和浩特市）（物理学、应用物理学）,571,21530,561,18278
大连海事大学,辽宁大连市,专业组（503）,首选物理，再选化学,2025,本科批,普通类,580,16848,,,,568,11724
大连海事大学,辽宁大连市,专业组（502）,首选物理，再选不限,2025,本科批,普通类,570,21768,,,,568,11724
大连海事大学,辽宁大连市,专业组（501）,首选物理，再选化学,2025,本科提前批,普通类,568,23330,,,,568,11724
大连海事大学,辽宁大连市,专业组（506）,首选物理，再选化学,2025,高校专项计划批,高校专项计划,574,20026,,,,568,11724
大连海事大学,辽宁大连市,专业组（505）,首选物理，再选不限,2025,高校专项计划批,高校专项计划,571,21654,自动化类（自动化、电气工程及其自动化、测控技术与仪器）,592,11724,568,11724
大连海事大学,辽宁大连市,专业组（505）,首选物理，再选不限,2025,高校专项计划批,高校专项计划,571,21654,计算机类（计算机科学与技术、软件工程、数据科学与大数据技术、网络工程、智能科学与技术）,589,13003,568,11724
大连海事大学,辽宁大连市,专业组（505）,首选物理，再选不限,2025,高校专项计划批,高校专项计划,571,21654,电子信息类（电子信息工程、电子信息科学与技术、通信工程、光电信息科学与工程）,585,14514,568,11724
大连海事大学,辽宁大连市,专业组（505）,首选物理，再选不限,2025,高校专项计划批,高校专项计划,571,21654,物联网工程,583,15491,568,11724
大连海事大学,辽宁大连市,专业组（505）,首选物理，再选不限,2025,高校专项计划批,高校专项计划,571,21654,机械类（机械设计制造及其自动化、船舶与海洋工程、能源与动力工程、救助与打捞工程（海洋智能装备））,581,16161,568,11724
哈尔滨工业大学,黑龙江哈尔滨市,专业组（503）,首选物理，再选化学,2025,本科批,普通类,658,326,,,,607,326
哈尔滨工业大学,黑龙江哈尔滨市,专业组（504）,首选物理，再选化学,2025,本科批,普通类,651,566,,,,607,326
哈尔滨工业大学,黑龙江哈尔滨市,专业组（561）,首选物理，再选化学,2025,本科批,国家专项,612,5443,,,,607,326
哈尔滨工业大学,黑龙江哈尔滨市,专业组（505）,首选物理，再选化学,2025,本科批,中外合作办学,610,6070,,,,607,326
哈尔滨工业大学,黑龙江哈尔滨市,专业组（506）,首选物理，再选化学,2025,本科批,中外合作办学,607,6783,工科试验班（黑龙江省哈尔滨市）（尖班）（自动化、人工智能、复合材料与工程、工程力学、材料科学与工程、机械设计制造及其自动化、机器人工程、飞行器制造工程、环境工程、精密仪器、测控技术与仪器、智能材料与结构、智能装备与系统、土木工程）（院士相关研究领域专业任选。院士与学生2年双重画像互选，培养方式详见学校招生官网）,658,326,607,326
哈尔滨工业大学,黑龙江哈尔滨市,专业组（506）,首选物理，再选化学,2025,本科批,中外合作办学,607,6783,工科试验班（黑龙江省哈尔滨市）（院士特色班）（通信工程、电子信息工程、信息对抗技术、智能科学与技术、自动化、智能装备与系统、飞行器设计与工程、复合材料与工程、工程力学、智能材料与结构、材料科学与工程、焊接技术与工程、飞行器制造工程、机器人工程、机械设计制造及其自动化、智能制造工程、仿生科学与工程）（含永坦班、善义班、小卫星班、智能机器人班，院士担任班主任，相关领域内专业任选）,653,468,607,326
哈尔滨工业大学,黑龙江哈尔滨市,专业组（506）,首选物理，再选化学,2025,本科批,中外合作办学,607,6783,工科试验班（黑龙江省哈尔滨市）（自主智能系统院士特色班）（自动化、人工智能、探测制导与控制技术、智能装备与系统、机器人工程）（院士担任班主任，培养地点：哈尔滨+上海（夏季学期））,653,482,607,326
哈尔滨工业大学,黑龙江哈尔滨市,专业组（506）,首选物理，再选化学,2025,本科批,中外合作办学,607,6783,工科试验班（黑龙江省哈尔滨市）（AI院士特色班）（人工智能）（院士担任班主任，培养地点第1年校本部，后3年深圳校区）,653,476,607,326
哈尔滨工业大学,黑龙江哈尔滨市,专业组（506）,首选物理，再选化学,2025,本科批,中外合作办学,607,6783,工科试验班（黑龙江省哈尔滨市）（未来技术拔尖班）（自动化、人工智能、计算机科学与技术、通信工程、电子信息工程、飞行器设计与工程、机器人工程、焊接技术与工程、电气工程及其自动化、复合材料与工程、智能材料与结构、集成电路设计与集成系统、微电子科学与工程、智能视觉工程、探测制导与控制技术、智能装备与系统、信息对抗技术、智能科学与技术、机械设计制造及其自动化、飞行器制造工程、智能制造工程、仿生科学与工程、光电信息材料与器件、飞行器动力工程、精密仪器、智能感知工程、测控技术与仪器、软件工程）（校本部理工专业任选，未来技术学院培养、书院制管理，采用“一生一策’拔尖培养）,651,566,607,326
云南大学,云南昆明市,专业组（504）,首选物理，再选化学、生物(2科必选),2025,本科批,普通类,585,14471,,,,541,11300
云南大学,云南昆明市,专业组（502）,首选物理，再选化学,2025,本科批,普通类,572,20838,,,,541,11300
云南大学,云南昆明市,专业组（506）,首选物理，再选思想政治,2025,本科批,普通类,566,24479,,,,541,11300
云南大学,云南昆明市,专业组（501）,首选物理，再选不限,2025,本科批,普通类,564,25475,,,,541,11300
